name,config_type,dataset_size,updates_total,perplexity,train_time,params
Backprop_s0,low_compute_10k,10000,120,12.443379402160645,3.4458258152008057,477881
EqProp_s0,low_compute_10k,10000,120,21.241926193237305,32.11158275604248,179897
Backprop_s1,low_compute_10k,10000,120,12.47587776184082,3.22658109664917,477881
EqProp_s1,low_compute_10k,10000,120,21.08637046813965,32.02922701835632,179897
Backprop_s2,low_compute_10k,10000,120,12.751945495605469,3.2016968727111816,477881
EqProp_s2,low_compute_10k,10000,120,22.070215225219727,32.67759609222412,179897
Backprop_s0,high_compute_10k,10000,1500,13.473058700561523,17.53598427772522,477881
EqProp_s0,high_compute_10k,10000,1500,10.110153198242188,195.26655864715576,179897
Backprop_s1,high_compute_10k,10000,1500,12.786304473876953,17.993139266967773,477881
EqProp_s1,high_compute_10k,10000,1500,10.457793235778809,199.51261520385742,179897
Backprop_s2,high_compute_10k,10000,1500,14.094949722290039,17.81022548675537,477881
EqProp_s2,high_compute_10k,10000,1500,10.553423881530762,199.66042304039001,179897
Backprop_s0,few_shot_1k,1000,300,15.559555053710938,3.549140214920044,105774
EqProp_s0,few_shot_1k,1000,300,19.706130981445312,54.01247310638428,55790
Backprop_s1,few_shot_1k,1000,300,16.160663604736328,3.5847837924957275,105774
EqProp_s1,few_shot_1k,1000,300,19.396427154541016,54.82224464416504,55790
Backprop_s2,few_shot_1k,1000,300,16.08132553100586,3.590163469314575,105774
EqProp_s2,few_shot_1k,1000,300,19.335613250732422,53.753499269485474,55790
